,sigla,prerrequisitos,relacion_prerreq_rest,restricciones,equivalencias
0,ACT113,No tiene,No tiene,No tiene,(ACT1213)
1,ACT107B,No tiene,No tiene,No tiene,No tiene
2,ACT107C,No tiene,No tiene,No tiene,No tiene
3,ACT112,No tiene,No tiene,No tiene,(ACT1214)
4,ACT105B,No tiene,No tiene,No tiene,No tiene
5,ACT111,No tiene,No tiene,No tiene,(ACT1211)
6,ACT106B,No tiene,No tiene,No tiene,No tiene
7,ACT106D,No tiene,No tiene,No tiene,(ACO236E o ACT1256)
8,ACT105A,No tiene,No tiene,No tiene,No tiene
9,ACT103A,ACT143,No tiene,No tiene,No tiene
10,ACT103C,ACT143,No tiene,No tiene,No tiene
11,ACT101C,(ACT141),No tiene,No tiene,(ACT1251 o ACT1261)
12,ACT101A,(ACT141),No tiene,No tiene,No tiene
13,ACT101B,(ACT141),No tiene,No tiene,(ACT1261)
14,ACO4001,No tiene,No tiene, ((Nivel = Doctorado) o (Nivel = Magister)) y (Escuela = Arte),No tiene
15,ACO4007,No tiene,No tiene, ((Nivel = Doctorado) o (Nivel = Magister)),No tiene
16,EAE105A,No tiene,No tiene,No tiene,(EAE100A o EAE102A o EAE102C o EAE102G o EAE102S)
17,EDU4035,No tiene,No tiene,No tiene,No tiene
18,EDU4030,No tiene,No tiene,No tiene,No tiene
19,EDU4222,(EDU4221),No tiene,No tiene,No tiene
20,END3110,No tiene,No tiene,No tiene,No tiene
21,END3010,No tiene,No tiene,No tiene,No tiene
22,ENB3110,No tiene,No tiene,No tiene,No tiene
23,ENF2524,ENF2512 o ENT2510 o ENT2520 o ENT2526 o ENT2532,No tiene,No tiene,(ENA2502)
24,LET4491,LET4439 y LET4490,y, (Programa = Doct En Ling��stica),No tiene
25,MGP3020,No tiene,No tiene,No tiene,No tiene
26,MPT3040,No tiene,No tiene, ((Nivel = Doctorado) o (Nivel = Magister) o (Nivel = Postitulo)),No tiene
27,MTC1020,No tiene,No tiene,No tiene,No tiene
28,MUC695D,(MUC694 o MUC694D o MUC903C o MUC903D),No tiene,No tiene,(MUC695 o MUC904D)
29,MUC721A,MUC720,No tiene,No tiene,(MUC721)
30,MUC903P,MUC902P o MUC693G,No tiene,No tiene,(MUC694G)
31,MUC907G,(MUC906G o MUC813 o MUC906E o MUC906F o MUC906H o MUC906I o MUC906J o MUC906K o MUC906L o MUC906M),No tiene,No tiene,(MUC814)
32,VIP501,(VIP053),No tiene,No tiene,No tiene
33,VIP071,(VIP044),No tiene,No tiene,No tiene
34,VIP070,(VIP041),No tiene,No tiene,No tiene
35,VIP055,(VIP041),No tiene,No tiene,No tiene
36,VIP054,(VIP005),No tiene,No tiene,No tiene
37,VIP053,(VIP041),No tiene,No tiene,No tiene
38,VIP052,(VIP030),No tiene,No tiene,No tiene
39,VIP051,(VIP041),No tiene,No tiene,No tiene
40,VIP050,No tiene,No tiene,No tiene,No tiene
41,VIP043,(VIP023),No tiene,No tiene,No tiene
42,VIP033,(VIP001),No tiene,No tiene,No tiene
43,VIP032,No tiene,No tiene,No tiene,(VIL303)
44,VIP030,(VIP020),No tiene,No tiene,No tiene
45,VIP020,No tiene,No tiene,No tiene,No tiene
46,VIP005,No tiene,No tiene,No tiene,No tiene
47,VIP004,No tiene,No tiene,No tiene,No tiene
48,VIP003,No tiene,No tiene,No tiene,(VIL104)
49,VIP001,No tiene,No tiene,No tiene,No tiene
50,VIL631,No tiene,No tiene, (Nivel = Pregrado),No tiene
51,VIL617,No tiene,No tiene,No tiene,No tiene
52,VIL608,No tiene,No tiene,No tiene,No tiene
53,VIL604,(BIO100P) o (VIP004),No tiene,No tiene,No tiene
54,VIL602,No tiene,No tiene,No tiene,No tiene
55,VIL521,(VIL107),No tiene,No tiene,No tiene
56,VIL520,(VIL121D y VIL201) o (VIL121D y VIL7000),No tiene,No tiene,No tiene
57,VIL511,VIL105 o VIL4001,No tiene,No tiene,No tiene
58,VIL510,(VIL100 y VIL200) o (VIL4000 y VIL200),No tiene,No tiene,No tiene
59,VIL502,VIL207 o VIL300B,No tiene,No tiene,No tiene
60,VIL501,VIL207 o VIL300B,No tiene,No tiene,No tiene
61,VIL500P,VIL102P o VIL8010,No tiene,No tiene,(VIL502P o VIL504P o VIL506P)
62,VIL400,(VIL102 y VIL101P) o (VIL102 y VIL8000) o (VIL3003 y VIL101P) o (VIL3003 y VIL8000),No tiene,No tiene,(VIL3008)
63,VIL500,VIL106 y VIL205 y VIL303 y VIL400 y VIL401,No tiene,No tiene,No tiene
64,VIL303,VIL106 o VIL3010,No tiene,No tiene,(VIP032)
65,VIL205,No tiene,No tiene,No tiene,No tiene
66,VIL203,No tiene,No tiene,No tiene,No tiene
67,VIL201,No tiene,No tiene,No tiene,(VIL7000)
68,VIL202,(VIL108),No tiene,No tiene,(VIL300M)
69,VIL200,No tiene,No tiene,No tiene,No tiene
70,VIL130D,VIL207 o VIL300B,No tiene,No tiene,(VIL300C)
71,VIL121D,(VIL300 y VIL120D) o (VIL300 y VIL7001),No tiene,No tiene,No tiene
72,VIL120D,(VIL107 y VIL201) o (VIL107 y VIL7000),No tiene,No tiene,(VIL7001)
73,VIL111D,VIL105 o VIL4001,No tiene,No tiene,(VIL4003)
74,VIL110D,(VIL100 y VIL200) o (VIL4000 y VIL200),No tiene,No tiene,(VIL4002)
75,VIL104,No tiene,No tiene,No tiene,(VIL500T o VIP003)
76,VIL103,No tiene,No tiene,No tiene,No tiene
77,VIL102,No tiene,No tiene,No tiene,(VIL3003)
78,VIL101P,(VIL106 y VIL100P) o (VIL3010 y VIL100P),No tiene,No tiene,(VIL8000)
79,VIL101D,(VIL3005 y VIL302) o (VIL3005 y VIL5001) o (VIL301 y VIL302) o (VIL301 y VIL5001),No tiene,No tiene,No tiene
80,VIL101,No tiene,No tiene,No tiene,No tiene
81,VIL100,No tiene,No tiene,No tiene,(VIL4000)
82,SUS2250,No tiene,No tiene,No tiene,No tiene
83,SUS2240,No tiene,No tiene,No tiene,No tiene
84,SUS2230,No tiene,No tiene,No tiene,No tiene
85,SUS2220,No tiene,No tiene,No tiene,No tiene
86,SUS2210,No tiene,No tiene,No tiene,No tiene
87,TSM305,TSM202 o TSF3030 o TSO3104,y, ((Nivel = Doctorado) o (Nivel = Magister)),No tiene
88,TSM3020,No tiene,No tiene,No tiene,(TSL330 o TSL517)
89,TSM3010,No tiene,No tiene,No tiene,(TSL516)
90,TSM300,No tiene,No tiene, ((Nivel = Doctorado) o (Nivel = Magister)),No tiene
91,TSM3009,No tiene,No tiene, ((Nivel = Doctorado) o (Nivel = Magister)),No tiene
92,TSM3007,No tiene,No tiene,No tiene,(TSL514)
93,TSM200,No tiene,No tiene,No tiene,No tiene
94,TSM202,No tiene,No tiene,No tiene,(TSF3030 o TSO3104)
95,TSM279,No tiene,No tiene, ((Nivel = Doctorado) o (Nivel = Magister)),No tiene
96,TSM103,No tiene,No tiene,No tiene,No tiene
97,TSM101,No tiene,No tiene,No tiene,No tiene
98,TSL595,No tiene,No tiene,No tiene,No tiene
99,TSL593,No tiene,No tiene,No tiene,No tiene
100,TSL590,No tiene,No tiene, (Carrera <> Trabajo Social),No tiene
101,TSL589,No tiene,No tiene, (Carrera <> Trabajo Social),No tiene
102,TSL587,TSL370 o TSL410 o TSL493,No tiene,No tiene,No tiene
103,TSL520,TSL413 o TSL463,No tiene,No tiene,No tiene
104,TSL463,TSL267 y TSL319 y TSL323 y TSL372,No tiene,No tiene,(TSL413)
105,TSL416,No tiene,No tiene,No tiene,(TSL371 o TSL491)
106,TSL414,TSL370 o TSL410 o TSL493,No tiene,No tiene,(TSL455 o TSL497)
107,TSL372,No tiene,No tiene,No tiene,No tiene
108,TSL412,No tiene,No tiene,No tiene,(TSL490)
109,TSL335,No tiene,No tiene,No tiene,(TSL326)
110,TSL333,TSL274 o TSL267,No tiene,No tiene,(TSL319)
111,TSL331,(TSL271 y TSL273 y TSL274) o (TSL323 y TSL273 y TSL274) o (TSL271 y TSL273 y TSL267) o (TSL323 y TSL273 y TSL267),No tiene,No tiene,No tiene
112,TSL330,No tiene,No tiene,No tiene,(TSM3020)
113,TSL271,TSL176 o TSL210,No tiene,No tiene,(TSL323)
114,TSL270,TSL174 o TSL159,No tiene,No tiene,No tiene
115,TSL263,No tiene,No tiene,No tiene,(TSL205 o TSL496)
116,TSL173,No tiene,No tiene,No tiene,No tiene
117,TSL172,No tiene,No tiene,No tiene,(TSL106)
118,TSL171,No tiene,No tiene,No tiene,(TSL105)
119,TSL170,No tiene,No tiene,No tiene,No tiene
120,TSL100P,No tiene,No tiene,No tiene,No tiene
121,TSC3007,TSM5210 y TSM5220 y TSM5230,y, ((Nivel = Doctorado) o (Nivel = Magister)),No tiene
122,TSC3006,No tiene,No tiene, ((Nivel = Doctorado) o (Nivel = Magister)),No tiene
123,TTF115,No tiene,No tiene, (Nivel = Pregrado),No tiene
124,TSC3005,TSM5210 y TSM5220 y TSM5230,y, ((Nivel = Doctorado) o (Nivel = Magister)),No tiene
125,TTF112,No tiene,No tiene, (Nivel = Pregrado),No tiene
126,TTF113,No tiene,No tiene, (Nivel = Pregrado),No tiene
127,TTF097,No tiene,No tiene,No tiene,No tiene
128,TTF094,No tiene,No tiene,No tiene,No tiene
129,TTF091,No tiene,No tiene,No tiene,No tiene
130,TTF087,No tiene,No tiene,No tiene,No tiene
131,TTF085,No tiene,No tiene,No tiene,No tiene
132,TTF084,No tiene,No tiene,No tiene,No tiene
133,TTF082,No tiene,No tiene,No tiene,No tiene
134,TTF080,No tiene,No tiene,No tiene,No tiene
135,TTF081,No tiene,No tiene,No tiene,No tiene
136,TTF079,No tiene,No tiene,No tiene,No tiene
137,TTF078,No tiene,No tiene,No tiene,No tiene
138,TTF077,No tiene,No tiene,No tiene,No tiene
139,TTF073,No tiene,No tiene,No tiene,No tiene
140,TTF068,No tiene,No tiene,No tiene,No tiene
141,TTF061,No tiene,No tiene,No tiene,No tiene
142,TTF044,No tiene,No tiene,No tiene,No tiene
143,TTF060,No tiene,No tiene,No tiene,No tiene
144,TTF058,No tiene,No tiene,No tiene,No tiene
145,TTF041,No tiene,No tiene,No tiene,No tiene
146,TTF040,No tiene,No tiene,No tiene,No tiene
147,TTF039,No tiene,No tiene,No tiene,No tiene
148,TTF036,No tiene,No tiene, (Nivel = Pregrado),No tiene
149,TTF030,No tiene,No tiene,No tiene,No tiene
150,TTF021,No tiene,No tiene,No tiene,No tiene
151,TTF020,No tiene,No tiene,No tiene,No tiene
152,TTF027,No tiene,No tiene,No tiene,(TLA130)
153,TTF019,No tiene,No tiene,No tiene,No tiene
154,TTF010,No tiene,No tiene,No tiene,No tiene
155,TPR520,TPR510,No tiene,No tiene,No tiene
156,TPR521,FIL109T o FIL189 o FIL026,No tiene,No tiene,No tiene
157,TPR511,No tiene,No tiene,No tiene,No tiene
158,TPR510,No tiene,No tiene,No tiene,No tiene
159,TPR402,(TPR302) y (TPR307),No tiene,No tiene,No tiene
160,TPR401,(TPR301),No tiene,No tiene,No tiene
161,TPR303,No tiene,No tiene,No tiene,No tiene
162,TPR302,(TPR102) y (TPR204),No tiene,No tiene,No tiene
163,TID011,No tiene,No tiene, (Nivel = Pregrado),No tiene
164,TET400T,No tiene,No tiene,No tiene,No tiene
165,TEP011,No tiene,No tiene,No tiene,No tiene
166,TEP010,No tiene,No tiene,No tiene,(TBL026)
167,TEO516,No tiene,No tiene,No tiene,No tiene
168,TEO517,No tiene,No tiene,No tiene,No tiene
169,TEO515,No tiene,No tiene,No tiene,No tiene
170,TEO304F,No tiene,No tiene,No tiene,No tiene
171,TEO304,No tiene,No tiene,No tiene,No tiene
172,TEO303A,No tiene,No tiene,No tiene,No tiene
173,TEO302C,No tiene,No tiene,No tiene,No tiene
174,TEO3023,No tiene,No tiene,No tiene,No tiene
175,TEO3022,No tiene,No tiene,No tiene,No tiene
176,TEO3025,TEO3024,y, (Programa = Doct En Teologia),No tiene
177,TEO3021,No tiene,No tiene,No tiene,No tiene
178,TEO3024,TEO3017,y, (Programa = Doct En Teologia),No tiene
179,TEO3020,No tiene,No tiene,No tiene,No tiene
180,TEO301L,No tiene,No tiene,No tiene,No tiene
181,TEO301S,No tiene,No tiene,No tiene,No tiene
182,TEO301C,No tiene,No tiene,No tiene,No tiene
183,TEO3019,No tiene,No tiene,No tiene,No tiene
184,TEO3016,TEO3015,y, (Programa = Doct En Teologia),No tiene
185,TEO3018,No tiene,No tiene,No tiene,No tiene
186,TEO3017,TEO3016,y, (Programa = Doct En Teologia),No tiene
187,TEO3014,TEO3013,y, (Programa = Doct En Teologia),No tiene
188,TEO3013,TEO3012,y, (Programa = Doct En Teologia),No tiene
189,TEO3015,TEO3014,y, (Programa = Doct En Teologia),No tiene
190,TEO3012,TEO3006,y, (Programa = Doct En Teologia),No tiene
191,TEO3011,TEO3006,y, (Programa = Doct En Teologia),No tiene
192,TEO300T,No tiene,No tiene,No tiene,(TET350)
193,TEO3009,No tiene,No tiene, (Programa = Doct En Teologia),No tiene
194,TEO3010,No tiene,No tiene, (Programa = Doct En Teologia),No tiene
195,TEO3008,No tiene,No tiene, (Programa = Doct En Teologia),No tiene
196,TEO3006,No tiene,No tiene,No tiene,No tiene
197,TEO3007,No tiene,No tiene, (Programa = Doct En Teologia),No tiene
198,TEO3004,No tiene,No tiene, (Programa = Doct En Teologia),No tiene
199,TEO3005,No tiene,No tiene, (Programa = Doct En Teologia),No tiene
200,TEO3003,No tiene,No tiene,No tiene,(TEO303D)
201,TEO3002,No tiene,No tiene,No tiene,(TEO302D)
202,TEO3001,No tiene,No tiene,No tiene,(TEO301D)
203,TEO291,No tiene,No tiene,No tiene,No tiene
204,TEO235,No tiene,No tiene,No tiene,No tiene
205,TEO280,No tiene,No tiene,No tiene,No tiene
206,TEO231,No tiene,No tiene,((Programa=Bach en Teologia) y (Creditos >= 360)),No tiene
207,TEO223,TBJ043 o TAJ039 o TAJ040 o TEO247 o TEP564,No tiene,No tiene,No tiene
208,TBS029,No tiene,No tiene,No tiene,(TES041)
209,TBS033,No tiene,No tiene,No tiene,(TAS028 o TES043)
210,TBS027,No tiene,No tiene,No tiene,(TES011A)
211,TBM039,No tiene,No tiene,No tiene,No tiene
212,TBJ043,No tiene,No tiene,No tiene,No tiene
213,TBI022,No tiene,No tiene,No tiene,No tiene
214,TBI013,No tiene,No tiene,No tiene,No tiene
215,TBI011,No tiene,No tiene,No tiene,No tiene
216,TBH044,No tiene,No tiene,No tiene,No tiene
217,TBH043,No tiene,No tiene,No tiene,(TBH039)
218,TBH041,No tiene,No tiene,No tiene,(TEH041)
219,TBD027,No tiene,No tiene,No tiene,No tiene
220,TBD025,No tiene,No tiene,No tiene,(TED051A)
221,TBD023,No tiene,No tiene,No tiene,(TED067)
222,TBD022,No tiene,No tiene,No tiene,(TBD017)
223,TBD020,No tiene,No tiene,No tiene,(TAD021 o TED140D)
224,TBD015,No tiene,No tiene,No tiene,(TED031)
225,TBD010,No tiene,No tiene,No tiene,No tiene
226,SOL404,No tiene,No tiene,No tiene,No tiene
227,SOL403,No tiene,No tiene,No tiene,No tiene
228,SOL4002,No tiene,No tiene, ((Nivel = Doctorado) o (Nivel = Magister)),No tiene
229,SOL400,No tiene,No tiene,No tiene,No tiene
230,SOL3099,No tiene,No tiene, ((Nivel = Doctorado) o (Nivel = Magister)),No tiene
231,SOL3098,SOL3097,y, (Programa = Doct Sociologia),No tiene
232,SOL3097,No tiene,No tiene, (Programa = Doct Sociologia),No tiene
233,SOL3096,SOL3095 o SOL3035,No tiene,No tiene,No tiene
234,SOL3095,SOL3094,No tiene,No tiene,(SOL3035)
235,SOL3094,SOL3093 o SOL3033,No tiene,No tiene,No tiene
236,SOL3092,No tiene,No tiene,No tiene,No tiene
237,SOL3091,SOL3090,No tiene,No tiene,No tiene
238,SOL3093,No tiene,No tiene, (Nivel = Doctorado) y (Programa = Doct Sociologia),(SOL3033)
239,SOL309,No tiene,No tiene,No tiene,No tiene
240,SOL3090,No tiene,No tiene, (Nivel = Doctorado) y (Programa = Doct Sociologia),No tiene
241,SOL3089,SOL3092,y, (Programa = Doct Sociologia),No tiene
242,SOL3088,SOL3092,y, (Programa = Doct Sociologia),No tiene
243,SOL3087,SOL3093 y SOL3094 y SOL3095,y, (Programa = Doct Sociologia),No tiene
244,SOL3086,(SOL3093 y SOL3094) o (SOL3033 y SOL3094),No tiene,No tiene,No tiene
245,SOL3085,SOL3092,y, (Programa = Doct Sociologia),No tiene
246,SOL3084,No tiene,No tiene, ((Nivel = Doctorado) o (Nivel = Magister)),No tiene
247,SOL3081,No tiene,No tiene,No tiene,No tiene
248,SOL3080,No tiene,No tiene,No tiene,No tiene
249,SOL3073,SOL3000 o SOL209 o SOL201S,No tiene,No tiene,No tiene
250,SOL3063,(SOL3000),No tiene,No tiene,No tiene
251,SOL3071,No tiene,No tiene, (Programa = Mag En Sociologia),No tiene
252,SOL3053,No tiene,No tiene, ((Nivel = Doctorado) o (Nivel = Magister)),No tiene
253,SOL3041,No tiene,No tiene, (Programa = Mag En Sociologia),No tiene
254,SOL3038,No tiene,No tiene, ((Nivel = Doctorado) o (Nivel = Magister)),No tiene
255,SOL3002,No tiene,No tiene, ((Programa = Mag En Sociologia) o (Programa = Doct Sociologia)),No tiene
256,SOL3000,No tiene,No tiene, ((Programa = Mag En Sociologia) o (Programa = Doct Sociologia)),No tiene
257,SOL227,No tiene,No tiene, (Carrera <> Sociologia) y (Nivel = Pregrado),No tiene
258,SOL222,No tiene,No tiene, (Nivel = Pregrado),No tiene
259,SOL220,No tiene,No tiene,No tiene,No tiene
260,SOL212,No tiene,No tiene,No tiene,No tiene
261,SOL208,SOL126S y SOL114,No tiene,No tiene,(SOL205S)
262,SOL204S,No tiene,No tiene,No tiene,No tiene
263,SOL200S,No tiene,No tiene,No tiene,No tiene
264,SOL198,No tiene,No tiene,(Creditos >= 200),(PCL331)
265,SOL192,No tiene,No tiene,No tiene,(SOL139S)
266,SOL191,No tiene,No tiene,(Creditos >= 200),No tiene
267,SOL190S,No tiene,No tiene,No tiene,No tiene
268,SOL190,(COM114 o PSI1203 o SOL104 o SOL126 o SOL126S o SOL126C),No tiene,No tiene,No tiene
269,SOL189S,SOL126S o SOL126C o PSI1203,No tiene,No tiene,No tiene
270,SOL169N,NUT301(c) y NUT302(c),No tiene,No tiene,No tiene
271,SOL142,No tiene,No tiene,No tiene,No tiene
272,SOL133,(COM114 o PSI1203 o SOL104 o SOL126 o SOL126S o SOL126C),No tiene,No tiene,No tiene
273,SOL131,PCL331 o SOG102P o SOG199T o SOL100,No tiene,No tiene,(SOL120)
274,SOL126S,No tiene,No tiene, ((Escuela = Lic. Generales (College)) o (Escuela = Comunicaciones) o (Escuela = Geograf�a) o (Escuela = Sociolog�a) o (Escuela = Antropolog�a)),(PSI1203 o SOL104 o SOL126 o SOL126C)
275,SOL119,No tiene,No tiene,(Creditos >= 200),No tiene
276,SOL126C,No tiene,No tiene, ((Escuela = Lic. Generales (College)) o (Escuela = Comunicaciones)),(SOL126S)
277,SOL113,No tiene,No tiene,No tiene,No tiene
278,SOL107,No tiene,No tiene,No tiene,No tiene
279,SOL106,SOL126S o MAT1020,No tiene,No tiene,(PSB406A o PSB410)
280,SOL102S,No tiene,No tiene,No tiene,No tiene
281,SOL101B,No tiene,No tiene,No tiene,No tiene
282,SOL100,No tiene,No tiene,No tiene,(PCL331 o SOG102P o SOG199T)
283,SOG104,DNO0211 o DNO3200 o DNO4200,No tiene,No tiene,(DNO6201 o PCL431)
284,VRA3010,RII6000 o RII6001 o VRA2010 o VRA2000,y,(Carrera=Ingenieria) o (Carrera=Ingenieria Comercial) o (Carrera=Ciencia Politica) o (Carrera=Antropologia) o (Carrera=Antropologia-Arqueologia),(VRA200I)
285,VRA2010,RII4000 o RII4001 o RII4010,y,(Carrera=Ingenieria) o (Carrera=Ingenieria Comercial) o (Carrera=Ciencia Politica) o (Carrera=Antropologia) o (Carrera=Antropologia-Arqueologia),(VRA2000)
286,VRA2000,RII4000 o RII4001 o RII4010,y," ((Carrera = Pedag Relig Catolica) o (Carrera = Construccion Civil) o (Carrera = Lic en Astronomia) o (Carrera = Lic en Fisica) o (Carrera = Lic en Astronomia) o (Carrera = Lic en Matematica) o (Carrera = Matem�tica) o (Carrera = Estad�stica) o (Carrera = Bach Cc Ss y Humanid) o (Carrera = Lic Ccnn y Matematic) o (Carrera = Lic Cs. Sociales) o (Carrera = Lic Arte y Humanid) o (Carrera = Quimica) o (Carrera = Quimica y Farmacia) o (Carrera = Lic en Agrorecursos) o (Carrera = Lic Agrorec/Forestal) o (Carrera = Ciencias Biologicas) o (Carrera = Bioquimica, Lic) o (Carrera = Biologia Marina) o (Carrera = Enfermeria-Obstetric) o (Carrera = Medicina) o (Carrera = Odontolog�a) o (Carrera = Nutr y Diet) o (Carrera = Kinesiolog�a) o (Carrera = Fonoaudiolog�a) o (Carrera = Terapia Ocupacional) o (Carrera = Derecho) o (Carrera = Administracion Publica) o (Carrera = P General Basica) o (Carrera = Ed de Parvulos) o (Carrera = Formacion Pedagogica) o (Carrera = Ped Edu Media Ccnn) o (Carrera = Ped Edu Media Fisica) o (Carrera = Ped Edu Media Mate) o (Carrera = Ped Edu Media Quimi) o (Carrera = Ped Ed Fis y Sal - Bas y Med) o (Carrera = Ped Rel Cat - Ed Bas y Med) o (Carrera = Lic en Ing Cs de Datos) o (Carrera = Medicina Veterinaria) o (Carrera = Comunicaciones) o (Carrera = Psicologia) o (Carrera = Trabajo Social) o (Carrera = Arte) o (Carrera = Actuacion) o (Carrera = Teologia-Plan Comun) o (Carrera = Lic Cs Religiosas) o (Carrera = Bach en Teologia) o (Carrera = Estudios Pastorales) o (Carrera = Lic Est Pastorales) o (Carrera = Lic Est Past/Humanid) o (Carrera = Estetica) o (Carrera = Historia) o (Carrera = Geografia) o (Carrera = Dise�o) o (Carrera = Plan Comun de Letras) o (Carrera = Lic en Let/Lit Hisp) o (Carrera = Lic en Let/Lit Ingl) o (Carrera = Licenciatura Letras Hispanicas) o (Carrera = Licenciatura Letras Inglesas) o (Carrera = Filosofia) o (Carrera = Interprete Musical) o (Carrera = Lic en Musica) o (Carrera = Interprete Musical) o (Carrera = Sociologia) o (Carrera = Arquitectura))",(VRA2010)
287,VRA101I,No tiene,No tiene,No tiene,No tiene
288,VRA101C,No tiene,No tiene,No tiene,No tiene
289,VRA100C,No tiene,No tiene,No tiene,No tiene
290,VRA001V,No tiene,No tiene,No tiene,No tiene
291,RII7000,(RII6000 o RII6001),No tiene,No tiene,No tiene
292,RII6001,No tiene,No tiene,No tiene,(RII6000)
293,RII5001,No tiene,No tiene,No tiene,(RII5000)
294,RII4001,No tiene,No tiene,No tiene,(RII4000)
295,RII4008,RII4000 o RII4001 o RII4010,No tiene,No tiene,No tiene
296,RII2200,RII2001,y, ((Carrera = Pedag Relig Catolica) o (Carrera = P_General_Basica_Lic) o (Carrera = Educ Parvularia)),No tiene
297,RII3001,No tiene,No tiene,No tiene,(RII3000)
298,RII2001,No tiene,No tiene,No tiene,(RII2000)
299,RII1001,No tiene,No tiene,No tiene,(RII1000)
300,RII0100,No tiene,No tiene,No tiene,No tiene
301,QUO1112,QIM200 o QUO1003 o QIM200 o QUO1001 o QUO1003,No tiene,No tiene,No tiene
302,QPG6002,QPG5005,y, (Programa = Doct En Quimica),No tiene
303,QPG6001,QPG5003,y, (Programa = Doct En Quimica),No tiene
304,QPG5161,No tiene,No tiene,No tiene,No tiene
305,QPG5008,QPG5002,y, (Programa = Doct En Quimica),No tiene
306,QPG5007,QPG5002,y, (Programa = Doct En Quimica),No tiene
307,QPG5004,(QPG5003),y, (Programa = Doct En Quimica),No tiene
308,QPG5005,QPG5004,y, (Programa = Doct En Quimica),No tiene
309,QPG5006,QPG5005,y, (Programa = Doct En Quimica),No tiene
310,QPG5001,No tiene,No tiene, (Programa = Doct En Quimica),No tiene
311,QPG3388,No tiene,No tiene,No tiene,No tiene
312,QPG5002,QPG3101 y QPG3104 y QPG5001,y, (Programa = Doct En Quimica),No tiene
313,QPG3387,No tiene,No tiene, (Nivel = Doctorado) y ((Escuela = Ingenier�a) o (Escuela = Qu�mica)),No tiene
314,QPG3384,No tiene,No tiene, (Nivel = Doctorado),No tiene
315,QPG3382,No tiene,No tiene, (Nivel = Doctorado),No tiene
316,QPG3220,No tiene,No tiene, (Programa = Doct En Quimica),No tiene
317,QPG3260,No tiene,No tiene, ((Nivel = Doctorado) o (Nivel = Magister)),No tiene
318,QPG3103,No tiene,No tiene, (Nivel = Doctorado),No tiene
319,QIM523,QIM115 o QQF3601,No tiene,No tiene,No tiene
320,QPG3104,No tiene,No tiene, (Programa = Doct En Quimica),No tiene
321,QPG3102,No tiene,No tiene, (Programa = Doct En Quimica),No tiene
322,QIM522,(QIM117 o QIM202 o QQO2402) o (BIO257C) o (BIO228C o BIO228 o BIO288),No tiene,No tiene,No tiene
323,QIM521,QIM117 o QIM202 o QQO2402 o BIO257C,No tiene,No tiene,No tiene
324,QIM518,QIM104A y QIM107A y QIM110A y QIM114,No tiene,No tiene,No tiene
325,QIM519,No tiene,No tiene,No tiene,No tiene
326,QIM510,QIM300 o QOP3804,No tiene,No tiene,No tiene
327,QIM506,QIM117 o QIM202 o QUM1001 o QUM1002,No tiene,No tiene,No tiene
328,QIM500,QIM108 o QIM108A,No tiene,No tiene,(QMP3902)
329,QIM450,No tiene,No tiene,(Creditos >= 400),(QPQ3601)
330,QIM400,QIM105 o QQO3501,No tiene,No tiene,(QMP3901)
331,QIM300,No tiene,No tiene,(Creditos >= 300),(QOP3804)
332,QIM2030,No tiene,No tiene,No tiene,No tiene
333,QIM210K,No tiene,No tiene,No tiene,No tiene
334,QIM2020,QIM2010 o QUI2000,No tiene,No tiene,No tiene
335,QIM202,QIM200 o QIM103A o QIM201G o QIM201A,No tiene,No tiene,(QIM117 o QUM1001 o QUM1002)
336,QIM201M,No tiene,No tiene,(Escuela=Medicina) o (Carrera=Medicina Veterinaria),(QIM201)
337,QIM201G,No tiene,No tiene, (Escuela = Agronom�a e Ing. Forestal),No tiene
338,QIM201F,No tiene,No tiene,No tiene,No tiene
339,QIM201A,No tiene,No tiene,No tiene,No tiene
340,QIM2010,No tiene,No tiene,((Carrera=Quimica) y (Creditos >= 300)),(QUI2000)
341,QIM200,QIM100 o QUG1002 o QUG1001 o QIM100A o (QIM100 y QIM101) o QIM100E,No tiene,No tiene,(QUO1001 o QUO1003)
342,QIM150A,FIS109C y MAT1100 y QIM100A,y,(Programa=Quimica y Farmacia),No tiene
343,QIM150,(FIS109C y MAT1506 y QIM109A) o (FIZ1111 y MLM1110) o (FIS1503 y MAT210E y QIM100A) o (FIS109C y MAT1506 y QIM100A),No tiene,No tiene,(QQF360A)
344,QIM124,No tiene,No tiene, (Nivel = Pregrado),No tiene
345,QIM122,No tiene,No tiene, (Nivel = Pregrado),No tiene
346,QIM120,No tiene,No tiene,No tiene,(QIM101Q)
347,QIM119A,No tiene,No tiene,(Creditos >= 350),(QIM119)
348,QIM118A,QIM110A o QIM111,No tiene,No tiene,(QIM118)
349,QIM117,QIM103A o QIM103 o QIM200 o QQO2303 o QUO1001 o QUO1003,No tiene,No tiene,(QIM202 o QQO2402)
350,QIM116,MAT1516 y QIM114,No tiene,No tiene,(QQF3701)
351,QIM115,QIM114 o QQF2501,No tiene,No tiene,(QQF3601)
352,QIM114,(FIZ1111 y MLM1110) o (FIZ020C y MAT1516) o MAT1506,No tiene,No tiene,(QQF2501)
353,QIM112A,QIM111 o QIM111A,No tiene,No tiene,(QIM112)
354,QIM111A,QIM110A o QIM111,No tiene,No tiene,(QIM111)
355,QIM111,QIM110 o IIQ1012 o QIM109A,No tiene,No tiene,No tiene
