,sigla,prerrequisitos,relacion_prerreq_rest,restricciones,equivalencias
1462,IMM0020,No tiene,No tiene,No tiene,No tiene
1463,IMI4000,No tiene,No tiene, (Programa = Mag en Innovacion),No tiene
1464,IMI3600,No tiene,No tiene, (Programa = Mag en Innovacion),(EAM530)
1465,IMI3510,No tiene,No tiene, (Programa = Mag en Innovacion),No tiene
1466,IMI3740,No tiene,No tiene, (Programa = Mag en Innovacion),No tiene
1467,IMI3500,No tiene,No tiene, (Programa = Mag en Innovacion),No tiene
1468,IMI3220,No tiene,No tiene, (Programa = Mag en Innovacion),No tiene
1469,IIQ3773,IIQ2043,o,(Carrera=Mag.En Cs Ingenieria) o (Carrera=Doct Cs Ingenieria),No tiene
1470,IIQ3733,IIQ2683 o IIQ3683 o IIQ2113(c),o,(Programa=Mag en Cs Ingenieria) o (Programa=Doct Cs Ingenieria) o (Programa=Mag Ingenieria),No tiene
1471,IMI3100,No tiene,No tiene, ((Programa = Prov. Conv. Bilater.) o (Programa = Mag en Innovacion) o (Programa = Mag Adm Empresas Exe) o (Programa = Mag Adm Empresas Exe) o (Programa = Mag Adm Empresas Exe) o (Programa = Mag Adm Empresas Exe) o (Programa = Mag Adm Intern-Chile) o (Programa = Mag Adm Emp Inte-Chi) o (Programa = Mag Adm Empresas Ace) o (Programa = Mag Adm Empresas Ace) o (Programa = Mag-Adm-Empresas-Ace) o (Programa = Mag Adm Empresas Ace)),No tiene
1472,IIQ3663,BIO228C(c) o QIM202(c) o BIO257C(c),o,(Programa=Doct Cs Ingenieria) o (Programa=Mag en Cs Ingenieria),No tiene
1473,IIQ3683,(BIO228 y IIQ2112) o (BIO228 y IIQ2113) o (BIO228C y IIQ2112) o (BIO228C y IIQ2113) o (BIO288 y IIQ2112) o (BIO288 y IIQ2113),o,((Programa=Doct Cs Ingenieria) y ((Programa=Mag en Cs Ingenieria)) y (Programa=Mag Ingenieria)),(IIQ2683 o IIQ3682 o IIQ3712)
1474,IIQ3643,IIQ2632 o IIQ2633 o QIM202 o BIO228C,o,(Programa=Mag en Cs Ingenieria) o (Programa=Doct Cs Ingenieria) o (Programa=Mag Ingenieria),No tiene
1475,IIQ3602,No tiene,No tiene,(Creditos >= 400) o (Programa=Mag en Cs Ingenieria) o (Programa=Doct Cs Ingenieria) o (Programa=Mag Ingenieria),No tiene
