sigla,Prerrequisitos,Relación entre prerrequisitos y restricciones,Restricciones,Equivalencias
ARQ3626,AQT008A o AQT008H o AQT008U o AQT008C o AQT008I,o,(Nivel=Magister) o (Nivel=Doctorado),No tiene
ARQ3624,AQT008A o AQT008H o AQT008U o AQT008C o AQT008I,o,(Nivel=Magister) o (Nivel=Doctorado),No tiene
ARQ3616,No tiene,No tiene, ((Nivel = Doctorado) o (Nivel = Magister)),No tiene
ARQ3606,(AQC0300 y AQH0400 y AQT008A y AQU0404) o (AQC0300 y AQH0400 y AQT008H y AQU0404) o (AQC0300 y AQH0400 y AQT008U y AQU0404) o (AQC0300 y AQH0400 y AQT008C y AQU0404) o (AQC0300 y AQH0400 y AQT008I y AQU0404),o,(Nivel=Magister) o (Nivel=Doctorado),No tiene
ARQ3605,(AQC0300 y AQH0400 y AQT008A y AQU0404) o (AQC0300 y AQH0400 y AQT008H y AQU0404) o (AQC0300 y AQH0400 y AQT008U y AQU0404) o (AQC0300 y AQH0400 y AQT008C y AQU0404) o (AQC0300 y AQH0400 y AQT008I y AQU0404),o,(Nivel=Magister) o (Nivel=Doctorado),No tiene
ARQ3604,ARQ3602 o AQA1100 o ARQ3351 o ARQ3551 o ARQ3071 o ARQ3203 o AQT010T o AQA110H o AQA1102 o ARQ3204,No tiene,No tiene,No tiene
ARQ3603,ARQ3071 o AQA1100 o ARQ3351 o ARQ3551 o ARQ3602 o ARQ3203 o AQT010T o AQA1102 o AQA110H o ARQ3204,No tiene,No tiene,(ARQ3003 o ARQ3072)
ARQ3602,(ARQ3601),No tiene,No tiene,(AQA1100 o AQT010T)
ARQ3552,ARQ3551 o AQA1100 o ARQ3351 o ARQ3071 o ARQ3602 o ARQ3203 o AQT010T o AQA110H o AQA1102 o ARQ3204,No tiene,No tiene,(ARQ3003)
ARQ3601,AQT008A o AQT008C o AQT008H o AQT008U o AQT008I,o,(Nivel=Magister) o (Nivel=Doctorado),No tiene
ARQ3551,ARQ3550,No tiene,No tiene,(AQA1100 o AQT010T o ARQ3504)
ARQ3550,AQT008A o AQT008C o AQT008H o AQT008U o AQT008I,o,(Nivel=Magister) o (Nivel=Doctorado),(ARQ3505)
ARQ3544,AQT008A o AQT008C o AQT008H o AQT008I o AQT008U,o,(Nivel=Magister) o (Nivel=Doctorado),No tiene
ARQ3548,No tiene,No tiene, ((Nivel = Doctorado) o (Nivel = Magister)),No tiene
ARQ3543,AQT008A o AQT008C o AQT008H o AQT008I o AQT008U,o,(Nivel=Magister) o (Nivel=Doctorado),No tiene
