sigla,Prerrequisitos,Relación entre prerrequisitos y restricciones,Restricciones,Equivalencias
ACT113,No tiene,No tiene,No tiene,(ACT1213)
ACT107B,No tiene,No tiene,No tiene,No tiene
ACT107C,No tiene,No tiene,No tiene,No tiene
ACT112,No tiene,No tiene,No tiene,(ACT1214)
ACT105B,No tiene,No tiene,No tiene,No tiene
ACT111,No tiene,No tiene,No tiene,(ACT1211)
ACT106B,No tiene,No tiene,No tiene,No tiene
ACT106D,No tiene,No tiene,No tiene,(ACO236E o ACT1256)
ACT105A,No tiene,No tiene,No tiene,No tiene
ACT103A,ACT143,No tiene,No tiene,No tiene
ACT103C,ACT143,No tiene,No tiene,No tiene
ACT101C,(ACT141),No tiene,No tiene,(ACT1251 o ACT1261)
ACT101A,(ACT141),No tiene,No tiene,No tiene
ACT101B,(ACT141),No tiene,No tiene,(ACT1261)
ACO4001,No tiene,No tiene, ((Nivel = Doctorado) o (Nivel = Magister)) y (Escuela = Arte),No tiene
ACO4007,No tiene,No tiene, ((Nivel = Doctorado) o (Nivel = Magister)),No tiene
EAE105A,No tiene,No tiene,No tiene,(EAE100A o EAE102A o EAE102C o EAE102G o EAE102S)
EDU4035,No tiene,No tiene,No tiene,No tiene
EDU4030,No tiene,No tiene,No tiene,No tiene
EDU4222,(EDU4221),No tiene,No tiene,No tiene
END3110,No tiene,No tiene,No tiene,No tiene
END3010,No tiene,No tiene,No tiene,No tiene
ENB3110,No tiene,No tiene,No tiene,No tiene
ENF2524,ENF2512 o ENT2510 o ENT2520 o ENT2526 o ENT2532,No tiene,No tiene,(ENA2502)
LET4491,LET4439 y LET4490,y, (Programa = Doct En Ling��stica),No tiene
MGP3020,No tiene,No tiene,No tiene,No tiene
MPT3040,No tiene,No tiene, ((Nivel = Doctorado) o (Nivel = Magister) o (Nivel = Postitulo)),No tiene
MTC1020,No tiene,No tiene,No tiene,No tiene
MUC695D,(MUC694 o MUC694D o MUC903C o MUC903D),No tiene,No tiene,(MUC695 o MUC904D)
MUC721A,MUC720,No tiene,No tiene,(MUC721)
MUC903P,MUC902P o MUC693G,No tiene,No tiene,(MUC694G)
MUC907G,(MUC906G o MUC813 o MUC906E o MUC906F o MUC906H o MUC906I o MUC906J o MUC906K o MUC906L o MUC906M),No tiene,No tiene,(MUC814)
VIP501,(VIP053),No tiene,No tiene,No tiene
VIP071,(VIP044),No tiene,No tiene,No tiene
VIP070,(VIP041),No tiene,No tiene,No tiene
VIP055,(VIP041),No tiene,No tiene,No tiene
VIP054,(VIP005),No tiene,No tiene,No tiene
VIP053,(VIP041),No tiene,No tiene,No tiene
VIP052,(VIP030),No tiene,No tiene,No tiene
VIP051,(VIP041),No tiene,No tiene,No tiene
VIP050,No tiene,No tiene,No tiene,No tiene
VIP043,(VIP023),No tiene,No tiene,No tiene
VIP033,(VIP001),No tiene,No tiene,No tiene
VIP032,No tiene,No tiene,No tiene,(VIL303)
VIP030,(VIP020),No tiene,No tiene,No tiene
VIP020,No tiene,No tiene,No tiene,No tiene
VIP005,No tiene,No tiene,No tiene,No tiene
VIP004,No tiene,No tiene,No tiene,No tiene
VIP003,No tiene,No tiene,No tiene,(VIL104)
VIP001,No tiene,No tiene,No tiene,No tiene
VIL631,No tiene,No tiene, (Nivel = Pregrado),No tiene
VIL617,No tiene,No tiene,No tiene,No tiene
VIL608,No tiene,No tiene,No tiene,No tiene
VIL604,(BIO100P) o (VIP004),No tiene,No tiene,No tiene
VIL602,No tiene,No tiene,No tiene,No tiene
VIL521,(VIL107),No tiene,No tiene,No tiene
VIL520,(VIL121D y VIL201) o (VIL121D y VIL7000),No tiene,No tiene,No tiene
VIL511,VIL105 o VIL4001,No tiene,No tiene,No tiene
VIL510,(VIL100 y VIL200) o (VIL4000 y VIL200),No tiene,No tiene,No tiene
VIL502,VIL207 o VIL300B,No tiene,No tiene,No tiene
VIL501,VIL207 o VIL300B,No tiene,No tiene,No tiene
VIL500P,VIL102P o VIL8010,No tiene,No tiene,(VIL502P o VIL504P o VIL506P)
VIL400,(VIL102 y VIL101P) o (VIL102 y VIL8000) o (VIL3003 y VIL101P) o (VIL3003 y VIL8000),No tiene,No tiene,(VIL3008)
VIL500,VIL106 y VIL205 y VIL303 y VIL400 y VIL401,No tiene,No tiene,No tiene
VIL303,VIL106 o VIL3010,No tiene,No tiene,(VIP032)
VIL205,No tiene,No tiene,No tiene,No tiene
VIL203,No tiene,No tiene,No tiene,No tiene
VIL201,No tiene,No tiene,No tiene,(VIL7000)
VIL202,(VIL108),No tiene,No tiene,(VIL300M)
VIL200,No tiene,No tiene,No tiene,No tiene
VIL130D,VIL207 o VIL300B,No tiene,No tiene,(VIL300C)
VIL121D,(VIL300 y VIL120D) o (VIL300 y VIL7001),No tiene,No tiene,No tiene
VIL120D,(VIL107 y VIL201) o (VIL107 y VIL7000),No tiene,No tiene,(VIL7001)
VIL111D,VIL105 o VIL4001,No tiene,No tiene,(VIL4003)
VIL110D,(VIL100 y VIL200) o (VIL4000 y VIL200),No tiene,No tiene,(VIL4002)
VIL104,No tiene,No tiene,No tiene,(VIL500T o VIP003)
VIL103,No tiene,No tiene,No tiene,No tiene
VIL102,No tiene,No tiene,No tiene,(VIL3003)
VIL101P,(VIL106 y VIL100P) o (VIL3010 y VIL100P),No tiene,No tiene,(VIL8000)
VIL101D,(VIL3005 y VIL302) o (VIL3005 y VIL5001) o (VIL301 y VIL302) o (VIL301 y VIL5001),No tiene,No tiene,No tiene
VIL101,No tiene,No tiene,No tiene,No tiene
VIL100,No tiene,No tiene,No tiene,(VIL4000)
SUS2250,No tiene,No tiene,No tiene,No tiene
SUS2240,No tiene,No tiene,No tiene,No tiene
SUS2230,No tiene,No tiene,No tiene,No tiene
SUS2220,No tiene,No tiene,No tiene,No tiene
SUS2210,No tiene,No tiene,No tiene,No tiene
TSM305,TSM202 o TSF3030 o TSO3104,y, ((Nivel = Doctorado) o (Nivel = Magister)),No tiene
TSM3020,No tiene,No tiene,No tiene,(TSL330 o TSL517)
TSM3010,No tiene,No tiene,No tiene,(TSL516)
TSM300,No tiene,No tiene, ((Nivel = Doctorado) o (Nivel = Magister)),No tiene
TSM3009,No tiene,No tiene, ((Nivel = Doctorado) o (Nivel = Magister)),No tiene
TSM3007,No tiene,No tiene,No tiene,(TSL514)
TSM200,No tiene,No tiene,No tiene,No tiene
TSM202,No tiene,No tiene,No tiene,(TSF3030 o TSO3104)
TSM279,No tiene,No tiene, ((Nivel = Doctorado) o (Nivel = Magister)),No tiene
TSM103,No tiene,No tiene,No tiene,No tiene
TSM101,No tiene,No tiene,No tiene,No tiene
TSL595,No tiene,No tiene,No tiene,No tiene
TSL593,No tiene,No tiene,No tiene,No tiene
TSL590,No tiene,No tiene, (Carrera <> Trabajo Social),No tiene
TSL589,No tiene,No tiene, (Carrera <> Trabajo Social),No tiene
TSL587,TSL370 o TSL410 o TSL493,No tiene,No tiene,No tiene
TSL520,TSL413 o TSL463,No tiene,No tiene,No tiene
TSL463,TSL267 y TSL319 y TSL323 y TSL372,No tiene,No tiene,(TSL413)
TSL416,No tiene,No tiene,No tiene,(TSL371 o TSL491)
TSL414,TSL370 o TSL410 o TSL493,No tiene,No tiene,(TSL455 o TSL497)
TSL372,No tiene,No tiene,No tiene,No tiene
TSL412,No tiene,No tiene,No tiene,(TSL490)
TSL335,No tiene,No tiene,No tiene,(TSL326)
TSL333,TSL274 o TSL267,No tiene,No tiene,(TSL319)
TSL331,(TSL271 y TSL273 y TSL274) o (TSL323 y TSL273 y TSL274) o (TSL271 y TSL273 y TSL267) o (TSL323 y TSL273 y TSL267),No tiene,No tiene,No tiene
TSL330,No tiene,No tiene,No tiene,(TSM3020)
TSL271,TSL176 o TSL210,No tiene,No tiene,(TSL323)
TSL270,TSL174 o TSL159,No tiene,No tiene,No tiene
TSL263,No tiene,No tiene,No tiene,(TSL205 o TSL496)
TSL173,No tiene,No tiene,No tiene,No tiene
TSL172,No tiene,No tiene,No tiene,(TSL106)
TSL171,No tiene,No tiene,No tiene,(TSL105)
TSL170,No tiene,No tiene,No tiene,No tiene
TSL100P,No tiene,No tiene,No tiene,No tiene
TSC3007,TSM5210 y TSM5220 y TSM5230,y, ((Nivel = Doctorado) o (Nivel = Magister)),No tiene
TSC3006,No tiene,No tiene, ((Nivel = Doctorado) o (Nivel = Magister)),No tiene
TTF115,No tiene,No tiene, (Nivel = Pregrado),No tiene
TSC3005,TSM5210 y TSM5220 y TSM5230,y, ((Nivel = Doctorado) o (Nivel = Magister)),No tiene
TTF112,No tiene,No tiene, (Nivel = Pregrado),No tiene
TTF113,No tiene,No tiene, (Nivel = Pregrado),No tiene
TTF097,No tiene,No tiene,No tiene,No tiene
TTF094,No tiene,No tiene,No tiene,No tiene
TTF091,No tiene,No tiene,No tiene,No tiene
TTF087,No tiene,No tiene,No tiene,No tiene
TTF085,No tiene,No tiene,No tiene,No tiene
TTF084,No tiene,No tiene,No tiene,No tiene
TTF082,No tiene,No tiene,No tiene,No tiene
TTF080,No tiene,No tiene,No tiene,No tiene
TTF081,No tiene,No tiene,No tiene,No tiene
TTF079,No tiene,No tiene,No tiene,No tiene
TTF078,No tiene,No tiene,No tiene,No tiene
TTF077,No tiene,No tiene,No tiene,No tiene
TTF073,No tiene,No tiene,No tiene,No tiene
TTF068,No tiene,No tiene,No tiene,No tiene
TTF061,No tiene,No tiene,No tiene,No tiene
TTF044,No tiene,No tiene,No tiene,No tiene
TTF060,No tiene,No tiene,No tiene,No tiene
TTF058,No tiene,No tiene,No tiene,No tiene
TTF041,No tiene,No tiene,No tiene,No tiene
TTF040,No tiene,No tiene,No tiene,No tiene
TTF039,No tiene,No tiene,No tiene,No tiene
TTF036,No tiene,No tiene, (Nivel = Pregrado),No tiene
TTF030,No tiene,No tiene,No tiene,No tiene
TTF021,No tiene,No tiene,No tiene,No tiene
TTF020,No tiene,No tiene,No tiene,No tiene
TTF027,No tiene,No tiene,No tiene,(TLA130)
TTF019,No tiene,No tiene,No tiene,No tiene
TTF010,No tiene,No tiene,No tiene,No tiene
TPR520,TPR510,No tiene,No tiene,No tiene
TPR521,FIL109T o FIL189 o FIL026,No tiene,No tiene,No tiene
TPR511,No tiene,No tiene,No tiene,No tiene
TPR510,No tiene,No tiene,No tiene,No tiene
TPR402,(TPR302) y (TPR307),No tiene,No tiene,No tiene
TPR401,(TPR301),No tiene,No tiene,No tiene
TPR303,No tiene,No tiene,No tiene,No tiene
TPR302,(TPR102) y (TPR204),No tiene,No tiene,No tiene
TID011,No tiene,No tiene, (Nivel = Pregrado),No tiene
TET400T,No tiene,No tiene,No tiene,No tiene
TEP011,No tiene,No tiene,No tiene,No tiene
TEP010,No tiene,No tiene,No tiene,(TBL026)
TEO516,No tiene,No tiene,No tiene,No tiene
TEO517,No tiene,No tiene,No tiene,No tiene
TEO515,No tiene,No tiene,No tiene,No tiene
TEO304F,No tiene,No tiene,No tiene,No tiene
TEO304,No tiene,No tiene,No tiene,No tiene
TEO303A,No tiene,No tiene,No tiene,No tiene
TEO302C,No tiene,No tiene,No tiene,No tiene
TEO3023,No tiene,No tiene,No tiene,No tiene
TEO3022,No tiene,No tiene,No tiene,No tiene
TEO3025,TEO3024,y, (Programa = Doct En Teologia),No tiene
TEO3021,No tiene,No tiene,No tiene,No tiene
TEO3024,TEO3017,y, (Programa = Doct En Teologia),No tiene
TEO3020,No tiene,No tiene,No tiene,No tiene
TEO301L,No tiene,No tiene,No tiene,No tiene
TEO301S,No tiene,No tiene,No tiene,No tiene
TEO301C,No tiene,No tiene,No tiene,No tiene
TEO3019,No tiene,No tiene,No tiene,No tiene
TEO3016,TEO3015,y, (Programa = Doct En Teologia),No tiene
TEO3018,No tiene,No tiene,No tiene,No tiene
TEO3017,TEO3016,y, (Programa = Doct En Teologia),No tiene
TEO3014,TEO3013,y, (Programa = Doct En Teologia),No tiene
TEO3013,TEO3012,y, (Programa = Doct En Teologia),No tiene
TEO3015,TEO3014,y, (Programa = Doct En Teologia),No tiene
TEO3012,TEO3006,y, (Programa = Doct En Teologia),No tiene
TEO3011,TEO3006,y, (Programa = Doct En Teologia),No tiene
TEO300T,No tiene,No tiene,No tiene,(TET350)
TEO3009,No tiene,No tiene, (Programa = Doct En Teologia),No tiene
TEO3010,No tiene,No tiene, (Programa = Doct En Teologia),No tiene
TEO3008,No tiene,No tiene, (Programa = Doct En Teologia),No tiene
TEO3006,No tiene,No tiene,No tiene,No tiene
TEO3007,No tiene,No tiene, (Programa = Doct En Teologia),No tiene
TEO3004,No tiene,No tiene, (Programa = Doct En Teologia),No tiene
TEO3005,No tiene,No tiene, (Programa = Doct En Teologia),No tiene
TEO3003,No tiene,No tiene,No tiene,(TEO303D)
TEO3002,No tiene,No tiene,No tiene,(TEO302D)
TEO3001,No tiene,No tiene,No tiene,(TEO301D)
TEO291,No tiene,No tiene,No tiene,No tiene
TEO235,No tiene,No tiene,No tiene,No tiene
TEO280,No tiene,No tiene,No tiene,No tiene
TEO231,No tiene,No tiene,((Programa=Bach en Teologia) y (Creditos >= 360)),No tiene
TEO223,TBJ043 o TAJ039 o TAJ040 o TEO247 o TEP564,No tiene,No tiene,No tiene
TBS029,No tiene,No tiene,No tiene,(TES041)
TBS033,No tiene,No tiene,No tiene,(TAS028 o TES043)
TBS027,No tiene,No tiene,No tiene,(TES011A)
TBM039,No tiene,No tiene,No tiene,No tiene
TBJ043,No tiene,No tiene,No tiene,No tiene
TBI022,No tiene,No tiene,No tiene,No tiene
TBI013,No tiene,No tiene,No tiene,No tiene
TBI011,No tiene,No tiene,No tiene,No tiene
TBH044,No tiene,No tiene,No tiene,No tiene
TBH043,No tiene,No tiene,No tiene,(TBH039)
TBH041,No tiene,No tiene,No tiene,(TEH041)
TBD027,No tiene,No tiene,No tiene,No tiene
TBD025,No tiene,No tiene,No tiene,(TED051A)
TBD023,No tiene,No tiene,No tiene,(TED067)
TBD022,No tiene,No tiene,No tiene,(TBD017)
TBD020,No tiene,No tiene,No tiene,(TAD021 o TED140D)
TBD015,No tiene,No tiene,No tiene,(TED031)
TBD010,No tiene,No tiene,No tiene,No tiene
SOL404,No tiene,No tiene,No tiene,No tiene
SOL403,No tiene,No tiene,No tiene,No tiene
SOL4002,No tiene,No tiene, ((Nivel = Doctorado) o (Nivel = Magister)),No tiene
SOL400,No tiene,No tiene,No tiene,No tiene
SOL3099,No tiene,No tiene, ((Nivel = Doctorado) o (Nivel = Magister)),No tiene
SOL3098,SOL3097,y, (Programa = Doct Sociologia),No tiene
SOL3097,No tiene,No tiene, (Programa = Doct Sociologia),No tiene
SOL3096,SOL3095 o SOL3035,No tiene,No tiene,No tiene
SOL3095,SOL3094,No tiene,No tiene,(SOL3035)
SOL3094,SOL3093 o SOL3033,No tiene,No tiene,No tiene
SOL3092,No tiene,No tiene,No tiene,No tiene
SOL3091,SOL3090,No tiene,No tiene,No tiene
SOL3093,No tiene,No tiene, (Nivel = Doctorado) y (Programa = Doct Sociologia),(SOL3033)
SOL309,No tiene,No tiene,No tiene,No tiene
SOL3090,No tiene,No tiene, (Nivel = Doctorado) y (Programa = Doct Sociologia),No tiene
SOL3089,SOL3092,y, (Programa = Doct Sociologia),No tiene
SOL3088,SOL3092,y, (Programa = Doct Sociologia),No tiene
SOL3087,SOL3093 y SOL3094 y SOL3095,y, (Programa = Doct Sociologia),No tiene
SOL3086,(SOL3093 y SOL3094) o (SOL3033 y SOL3094),No tiene,No tiene,No tiene
SOL3085,SOL3092,y, (Programa = Doct Sociologia),No tiene
SOL3084,No tiene,No tiene, ((Nivel = Doctorado) o (Nivel = Magister)),No tiene
SOL3081,No tiene,No tiene,No tiene,No tiene
SOL3080,No tiene,No tiene,No tiene,No tiene
SOL3073,SOL3000 o SOL209 o SOL201S,No tiene,No tiene,No tiene
SOL3063,(SOL3000),No tiene,No tiene,No tiene
SOL3071,No tiene,No tiene, (Programa = Mag En Sociologia),No tiene
SOL3053,No tiene,No tiene, ((Nivel = Doctorado) o (Nivel = Magister)),No tiene
SOL3041,No tiene,No tiene, (Programa = Mag En Sociologia),No tiene
SOL3038,No tiene,No tiene, ((Nivel = Doctorado) o (Nivel = Magister)),No tiene
SOL3002,No tiene,No tiene, ((Programa = Mag En Sociologia) o (Programa = Doct Sociologia)),No tiene
SOL3000,No tiene,No tiene, ((Programa = Mag En Sociologia) o (Programa = Doct Sociologia)),No tiene
SOL227,No tiene,No tiene, (Carrera <> Sociologia) y (Nivel = Pregrado),No tiene
SOL222,No tiene,No tiene, (Nivel = Pregrado),No tiene
SOL220,No tiene,No tiene,No tiene,No tiene
SOL212,No tiene,No tiene,No tiene,No tiene
SOL208,SOL126S y SOL114,No tiene,No tiene,(SOL205S)
SOL204S,No tiene,No tiene,No tiene,No tiene
SOL200S,No tiene,No tiene,No tiene,No tiene
SOL198,No tiene,No tiene,(Creditos >= 200),(PCL331)
SOL192,No tiene,No tiene,No tiene,(SOL139S)
SOL191,No tiene,No tiene,(Creditos >= 200),No tiene
SOL190S,No tiene,No tiene,No tiene,No tiene
SOL190,(COM114 o PSI1203 o SOL104 o SOL126 o SOL126S o SOL126C),No tiene,No tiene,No tiene
SOL189S,SOL126S o SOL126C o PSI1203,No tiene,No tiene,No tiene
SOL169N,NUT301(c) y NUT302(c),No tiene,No tiene,No tiene
SOL142,No tiene,No tiene,No tiene,No tiene
SOL133,(COM114 o PSI1203 o SOL104 o SOL126 o SOL126S o SOL126C),No tiene,No tiene,No tiene
SOL131,PCL331 o SOG102P o SOG199T o SOL100,No tiene,No tiene,(SOL120)
SOL126S,No tiene,No tiene, ((Escuela = Lic. Generales (College)) o (Escuela = Comunicaciones) o (Escuela = Geograf�a) o (Escuela = Sociolog�a) o (Escuela = Antropolog�a)),(PSI1203 o SOL104 o SOL126 o SOL126C)
SOL119,No tiene,No tiene,(Creditos >= 200),No tiene
SOL126C,No tiene,No tiene, ((Escuela = Lic. Generales (College)) o (Escuela = Comunicaciones)),(SOL126S)
SOL113,No tiene,No tiene,No tiene,No tiene
SOL107,No tiene,No tiene,No tiene,No tiene
SOL106,SOL126S o MAT1020,No tiene,No tiene,(PSB406A o PSB410)
SOL102S,No tiene,No tiene,No tiene,No tiene
SOL101B,No tiene,No tiene,No tiene,No tiene
SOL100,No tiene,No tiene,No tiene,(PCL331 o SOG102P o SOG199T)
SOG104,DNO0211 o DNO3200 o DNO4200,No tiene,No tiene,(DNO6201 o PCL431)
VRA3010,RII6000 o RII6001 o VRA2010 o VRA2000,y,(Carrera=Ingenieria) o (Carrera=Ingenieria Comercial) o (Carrera=Ciencia Politica) o (Carrera=Antropologia) o (Carrera=Antropologia-Arqueologia),(VRA200I)
VRA2010,RII4000 o RII4001 o RII4010,y,(Carrera=Ingenieria) o (Carrera=Ingenieria Comercial) o (Carrera=Ciencia Politica) o (Carrera=Antropologia) o (Carrera=Antropologia-Arqueologia),(VRA2000)
VRA2000,RII4000 o RII4001 o RII4010,y," ((Carrera = Pedag Relig Catolica) o (Carrera = Construccion Civil) o (Carrera = Lic en Astronomia) o (Carrera = Lic en Fisica) o (Carrera = Lic en Astronomia) o (Carrera = Lic en Matematica) o (Carrera = Matem�tica) o (Carrera = Estad�stica) o (Carrera = Bach Cc Ss y Humanid) o (Carrera = Lic Ccnn y Matematic) o (Carrera = Lic Cs. Sociales) o (Carrera = Lic Arte y Humanid) o (Carrera = Quimica) o (Carrera = Quimica y Farmacia) o (Carrera = Lic en Agrorecursos) o (Carrera = Lic Agrorec/Forestal) o (Carrera = Ciencias Biologicas) o (Carrera = Bioquimica, Lic) o (Carrera = Biologia Marina) o (Carrera = Enfermeria-Obstetric) o (Carrera = Medicina) o (Carrera = Odontolog�a) o (Carrera = Nutr y Diet) o (Carrera = Kinesiolog�a) o (Carrera = Fonoaudiolog�a) o (Carrera = Terapia Ocupacional) o (Carrera = Derecho) o (Carrera = Administracion Publica) o (Carrera = P General Basica) o (Carrera = Ed de Parvulos) o (Carrera = Formacion Pedagogica) o (Carrera = Ped Edu Media Ccnn) o (Carrera = Ped Edu Media Fisica) o (Carrera = Ped Edu Media Mate) o (Carrera = Ped Edu Media Quimi) o (Carrera = Ped Ed Fis y Sal - Bas y Med) o (Carrera = Ped Rel Cat - Ed Bas y Med) o (Carrera = Lic en Ing Cs de Datos) o (Carrera = Medicina Veterinaria) o (Carrera = Comunicaciones) o (Carrera = Psicologia) o (Carrera = Trabajo Social) o (Carrera = Arte) o (Carrera = Actuacion) o (Carrera = Teologia-Plan Comun) o (Carrera = Lic Cs Religiosas) o (Carrera = Bach en Teologia) o (Carrera = Estudios Pastorales) o (Carrera = Lic Est Pastorales) o (Carrera = Lic Est Past/Humanid) o (Carrera = Estetica) o (Carrera = Historia) o (Carrera = Geografia) o (Carrera = Dise�o) o (Carrera = Plan Comun de Letras) o (Carrera = Lic en Let/Lit Hisp) o (Carrera = Lic en Let/Lit Ingl) o (Carrera = Licenciatura Letras Hispanicas) o (Carrera = Licenciatura Letras Inglesas) o (Carrera = Filosofia) o (Carrera = Interprete Musical) o (Carrera = Lic en Musica) o (Carrera = Interprete Musical) o (Carrera = Sociologia) o (Carrera = Arquitectura))",(VRA2010)
VRA101I,No tiene,No tiene,No tiene,No tiene
VRA101C,No tiene,No tiene,No tiene,No tiene
VRA100C,No tiene,No tiene,No tiene,No tiene
VRA001V,No tiene,No tiene,No tiene,No tiene
RII7000,(RII6000 o RII6001),No tiene,No tiene,No tiene
RII6001,No tiene,No tiene,No tiene,(RII6000)
RII5001,No tiene,No tiene,No tiene,(RII5000)
RII4001,No tiene,No tiene,No tiene,(RII4000)
RII4008,RII4000 o RII4001 o RII4010,No tiene,No tiene,No tiene
RII2200,RII2001,y, ((Carrera = Pedag Relig Catolica) o (Carrera = P_General_Basica_Lic) o (Carrera = Educ Parvularia)),No tiene
RII3001,No tiene,No tiene,No tiene,(RII3000)
RII2001,No tiene,No tiene,No tiene,(RII2000)
RII1001,No tiene,No tiene,No tiene,(RII1000)
RII0100,No tiene,No tiene,No tiene,No tiene
QUO1112,QIM200 o QUO1003 o QIM200 o QUO1001 o QUO1003,No tiene,No tiene,No tiene
QPG6002,QPG5005,y, (Programa = Doct En Quimica),No tiene
QPG6001,QPG5003,y, (Programa = Doct En Quimica),No tiene
QPG5161,No tiene,No tiene,No tiene,No tiene
QPG5008,QPG5002,y, (Programa = Doct En Quimica),No tiene
QPG5007,QPG5002,y, (Programa = Doct En Quimica),No tiene
QPG5004,(QPG5003),y, (Programa = Doct En Quimica),No tiene
QPG5005,QPG5004,y, (Programa = Doct En Quimica),No tiene
QPG5006,QPG5005,y, (Programa = Doct En Quimica),No tiene
QPG5001,No tiene,No tiene, (Programa = Doct En Quimica),No tiene
QPG3388,No tiene,No tiene,No tiene,No tiene
QPG5002,QPG3101 y QPG3104 y QPG5001,y, (Programa = Doct En Quimica),No tiene
QPG3387,No tiene,No tiene, (Nivel = Doctorado) y ((Escuela = Ingenier�a) o (Escuela = Qu�mica)),No tiene
QPG3384,No tiene,No tiene, (Nivel = Doctorado),No tiene
QPG3382,No tiene,No tiene, (Nivel = Doctorado),No tiene
QPG3220,No tiene,No tiene, (Programa = Doct En Quimica),No tiene
QPG3260,No tiene,No tiene, ((Nivel = Doctorado) o (Nivel = Magister)),No tiene
QPG3103,No tiene,No tiene, (Nivel = Doctorado),No tiene
QIM523,QIM115 o QQF3601,No tiene,No tiene,No tiene
QPG3104,No tiene,No tiene, (Programa = Doct En Quimica),No tiene
QPG3102,No tiene,No tiene, (Programa = Doct En Quimica),No tiene
QIM522,(QIM117 o QIM202 o QQO2402) o (BIO257C) o (BIO228C o BIO228 o BIO288),No tiene,No tiene,No tiene
QIM521,QIM117 o QIM202 o QQO2402 o BIO257C,No tiene,No tiene,No tiene
QIM518,QIM104A y QIM107A y QIM110A y QIM114,No tiene,No tiene,No tiene
QIM519,No tiene,No tiene,No tiene,No tiene
QIM510,QIM300 o QOP3804,No tiene,No tiene,No tiene
QIM506,QIM117 o QIM202 o QUM1001 o QUM1002,No tiene,No tiene,No tiene
QIM500,QIM108 o QIM108A,No tiene,No tiene,(QMP3902)
QIM450,No tiene,No tiene,(Creditos >= 400),(QPQ3601)
QIM400,QIM105 o QQO3501,No tiene,No tiene,(QMP3901)
QIM300,No tiene,No tiene,(Creditos >= 300),(QOP3804)
QIM2030,No tiene,No tiene,No tiene,No tiene
QIM210K,No tiene,No tiene,No tiene,No tiene
QIM2020,QIM2010 o QUI2000,No tiene,No tiene,No tiene
QIM202,QIM200 o QIM103A o QIM201G o QIM201A,No tiene,No tiene,(QIM117 o QUM1001 o QUM1002)
QIM201M,No tiene,No tiene,(Escuela=Medicina) o (Carrera=Medicina Veterinaria),(QIM201)
QIM201G,No tiene,No tiene, (Escuela = Agronom�a e Ing. Forestal),No tiene
QIM201F,No tiene,No tiene,No tiene,No tiene
QIM201A,No tiene,No tiene,No tiene,No tiene
QIM2010,No tiene,No tiene,((Carrera=Quimica) y (Creditos >= 300)),(QUI2000)
QIM200,QIM100 o QUG1002 o QUG1001 o QIM100A o (QIM100 y QIM101) o QIM100E,No tiene,No tiene,(QUO1001 o QUO1003)
QIM150A,FIS109C y MAT1100 y QIM100A,y,(Programa=Quimica y Farmacia),No tiene
QIM150,(FIS109C y MAT1506 y QIM109A) o (FIZ1111 y MLM1110) o (FIS1503 y MAT210E y QIM100A) o (FIS109C y MAT1506 y QIM100A),No tiene,No tiene,(QQF360A)
QIM124,No tiene,No tiene, (Nivel = Pregrado),No tiene
QIM122,No tiene,No tiene, (Nivel = Pregrado),No tiene
QIM120,No tiene,No tiene,No tiene,(QIM101Q)
QIM119A,No tiene,No tiene,(Creditos >= 350),(QIM119)
QIM118A,QIM110A o QIM111,No tiene,No tiene,(QIM118)
QIM117,QIM103A o QIM103 o QIM200 o QQO2303 o QUO1001 o QUO1003,No tiene,No tiene,(QIM202 o QQO2402)
QIM116,MAT1516 y QIM114,No tiene,No tiene,(QQF3701)
QIM115,QIM114 o QQF2501,No tiene,No tiene,(QQF3601)
QIM114,(FIZ1111 y MLM1110) o (FIZ020C y MAT1516) o MAT1506,No tiene,No tiene,(QQF2501)
QIM112A,QIM111 o QIM111A,No tiene,No tiene,(QIM112)
QIM111A,QIM110A o QIM111,No tiene,No tiene,(QIM111)
QIM111,QIM110 o IIQ1012 o QIM109A,No tiene,No tiene,No tiene
QIM110A,QIM109A o QIM110,No tiene,No tiene,(QIM111)
QIM109A,(EYP2310 y QIM100A) o (BIO242C(c) y QIM100A),No tiene,No tiene,(QIM110)
QIM108A,QIM107 o QIM107A,No tiene,No tiene,(QIM108)
QIM107A,QIM106 o QIM106A,No tiene,No tiene,(QIM107)
QIM105,QIM104 o QIM104A o QQO2401,No tiene,No tiene,(QQO3501)
QIM106A,QIM100 o QIM100A o QIM109 o QIM100P o QIM100E,No tiene,No tiene,(QIM106)
QIM104A,QIM103 o QIM103A,No tiene,No tiene,(QIM104)
QIM103A,QIM102 o QIM102A o QQO2203,No tiene,No tiene,(QIM103)
QIM102A,QIM100 o QIM100A o QIM109 o QIM100P,No tiene,No tiene,(QIM102)
QIM1027,QIF108 o QFF4020,y, (Programa = Quimica Y Farmacia),No tiene
QIM1022,QIF105A o QIF105,No tiene,No tiene,No tiene
QIM1021,QIF101A y QIF104A y QIF116,No tiene,No tiene,No tiene
QIM1020,BIO242C o EYP2310 o EYP2216,No tiene,No tiene,No tiene
QIM101Q,No tiene,No tiene,No tiene,(QIM101 o QIM120)
QIM1018,BIO265C o QIF116 o BIO272A o BIO272C,No tiene,No tiene,No tiene
QIM1017,BIO264C o QIF150,No tiene,No tiene,No tiene
QIM1010,QIM104 o QIM104A o QQO2401,No tiene,No tiene,No tiene
QIM100P,No tiene,No tiene,No tiene,(QIM100)
